Name,Listing Type,Feature Tag,Price,Location,Room Count,Area
Caddebostan Sahil Deniz Manzaralı Balkonlu Kombili Sıfır 3+1,Platin İlan,No tag,83000,"Caddebostan, Kadıköy",3+1,135
MEYDAN VE METRO DİBİNDE !! 2+1 80M2 D.SOBALI KİRALIK DAİRE,öne çıkan ilan,Yeni,10000,"Mimar Sinan, Esenler",2+1,80
FEVZİ ÇAKMAK MH. 3+1 115M2 3.KAT ÇİFT BALKONLU KİRALIK DAİRE,öne çıkan ilan,Yeni,15000,"Fevzi Çakmak, Esenler",3+1,120
GÜNGÖREN KİRALIK BAHÇE KATI 2+1,öne çıkan ilan,Acil,12500,"Mareşal Çakmak, Güngören",2+1,110
İstinye parka yakın güvenlikli sitede açık teraslı 3+1 kombili,öne çıkan ilan,Yeni,37000,"Pınar, Sarıyer",3+1,148
Deniz İstanbul Sedef Konakları Kiralık 3+1 Daire,öne çıkan ilan,Yeni,55000,"Marmara, Beylikdüzü",3+1,180
KW FİSUN DAN 6.GAZETECİLER SİTESİNDE 3+1 KİRALIK DAİRE,öne çıkan ilan,No tag,36000,"Akat, Beşiktaş",3+1,120
Beylikdüzü metrobüs ilk durakta 1+1 eşyalı,öne çıkan ilan,No tag,10000,"Gökevler, Esenyurt",1+1,70
GALATADERESİ CADDE ÜSTÜ HASTANE KARŞISI ARAKAT KİRALIK 1+1,öne çıkan ilan,No tag,15000,"Gülbahar, Şişli",1+1,55
MUTLUOL PROJE'DEN CADDEBOSTAN'DA KİRALIK 2+1 DAİRE,öne çıkan ilan,No tag,75000,"Caddebostan, Kadıköy",2+1,130
OKAN EMLAK SEFAKÖY KEMALPAŞADA KİRALIK 2+1 DÜZ GİRİŞ DAİRE,öne çıkan ilan,No tag,15000,"Kemalpaşa, Küçükçekmece",2+1,140
"ATATÜRK CAD.METRO YAKIN 3+1 120M2 BAHÇELİ, BAHÇE KATI KİRALIK DA",öne çıkan ilan,No tag,13000,"Davutpaşa, Esenler",3+1,125
Caddebostan Sahil Sıfır Binada 3+1 Balkonlu Daire,öne çıkan ilan,No tag,70000,"Caddebostan, Kadıköy",3+1,125
AĞAOĞLU MASLAK 1453 PROJESİNDE 135m2 EŞYALI KİRALIK DAİRE,öne çıkan ilan,No tag,60000,"Maslak, Sarıyer",2+1,135
KİRALIK DİRE GÖKALP OLİVİUM KARŞISI. 2+1 FERAH 95M2 .4 KAT TEMİZ,öne çıkan ilan,No tag,14500,"Gökalp, Zeytinburnu",2+1,100
Kağıthane Nurtepe Osmanpaşa 4+1 dublex kiralık Daire,öne çıkan ilan,No tag,33500,"Merkez, Kağıthane",4+1,220
dikilitaşta acıbadem fulya hastanesi yakınında eşyalı kiralık daire flat in dikilitaş,öne çıkan ilan,No tag,25000,"Dikilitaş, Beşiktaş",1+1,55
Üsküdar Ferah mh Mini Sitede 2+1 Kiralık Daire En₺@ Eml@k,öne çıkan ilan,No tag,17000,"Ferah, Üsküdar",2+1,60
Başokur'dan Şirinevler Metro Metrobüse yakın 2+1 Arakat Daire,öne çıkan ilan,No tag,22500,"Şirinevler, Bahçelievler",2+1,95
"KADIKÖY FİKİRTEPE  CONCORD, furnished for rent اجاره رزیدانس  مبله استخردار 2 خواب",öne çıkan ilan,No tag,35000,"Dumlupınar, Kadıköy",2+1,110
Çatalçeşme Yalı Parseli Adalar Manzaralı 170m2 Kiralık Daire,öne çıkan ilan,No tag,135000,"Bostancı, Kadıköy",4+1,170
Suadiye Full Mobilyalı 4+1 Balkonlu Kiralık Daire,öne çıkan ilan,No tag,120000,"Suadiye, Kadıköy",4+1,215
BİLGİ ÜNİ. ÇAPRAZINDA METRO TRUMP 7 DAKKA 1+1 TERS DUBLEX EŞYALI,öne çıkan ilan,No tag,15000,"Mecidiyeköy, Şişli",1+1,52
İstinyepark Evlerinde Kiralık 300m2 Vadide Çatı Dubleksi / LUX,öne çıkan ilan,No tag,250000,"Pınar, Sarıyer",4+1,300
"Kağıthane Hamidiye'de 2+1  Kiralık Daire, otoparklı",öne çıkan ilan,No tag,16500,"Hamidiye, Kağıthane",2+1,85
Başokur'dan Bahçelievler Soğanlı da Yeni Binada 2+1 Kiralık,öne çıkan ilan,No tag,12500,"Soğanlı, Bahçelievler",2+1,78
++NUROL TOWERS KARŞISI FULL EŞYALI FATURALAR DAHİL 1+1 KİRALIK++,öne çıkan ilan,No tag,20000,"İzzet Paşa, Şişli",1+1,60
REMAX TUĞÇE'DEN ÇOBANÇEŞME'DE KİRALIK DAİRE,öne çıkan ilan,No tag,13250,"Çobançeşme, Bahçelievler",2+1,100
AQUA FLORYA AVM KARŞISI FULL EŞYALI HAVUZLU 4+1 220 M2,öne çıkan ilan,Yeni,65000,"Şenlikköy, Bakırköy",4+1,220
2+1 Bayrampaşa Vatan Mahallesinde 2. Kat Asansörlü Kiralık Daire,No type,Yeni,20000,"Vatan, Bayrampaşa",2+1,70
2+1 Bayrampaşa Vatan Mahallesinde 2. Kat Sıfır Kiralık Daire,No type,Yeni,20000,"Vatan, Bayrampaşa",2+1,80
2+1 Bayrampaşa Vatan Mahallesinde 1. Kat Sıfır Kiralık Daire,No type,Yeni,20000,"Vatan, Bayrampaşa",2+1,80
BAĞCILAR 220m2 KİRALIK DAİRE,No type,Yeni,20000,"Cumhuriyet, Bahçelievler",3+1,220
NİŞANTAŞI RUMELİ CADDESİNDE İÇİ YENİLENMİŞ KİRALIK 3+1 DAİRE,No type,Yeni,70000,"Halaskargazi, Şişli",3+1,140
"4.levent Kiralık 1+1 Full Eşyalı Daire,Genç Bina,Güvenli Lokasyn",No type,Yeni,20000,"Çeliktepe, Kağıthane",1+1,65
Şaşkınbakkal Sahil parselinde 5+1 Brüt 360 m2 Kiralık Daire,No type,Yeni,180000,"Suadiye, Kadıköy",5+1,360
ART'S GAYRİMENKUL'DEN 3+1 EŞYALI KİRALIK DAİRE,No type,Yeni,35000,"Barış, Beylikdüzü",3+1,169
ART'S GAYRİMENKUL'DEN 1+1 HAVUZ MANZARALI DAİRE,No type,Yeni,17000,"Barış, Beylikdüzü",1+1,67
MİMARLARDAN'ALTAYÇEŞME CİMİLLİ KONUTLARINDA 3+1 KİRALIK DAİRE!,No type,Yeni,26000,"Altayçeşme, Maltepe",3+1,130
Güngören Mareşal Çakmak Mah Kiralık 3+1 Daire 4.Arakat Ön Cephe,No type,Yeni,16000,"Mareşal Çakmak, Güngören",3+1,130
Çekmeköy Yeni Bina 4+1 Kiralık Daire,No type,Yeni,22500,"Nişantepe, Çekmeköy",4+1,120
Caddebostan Bağdat Caddesine 2. Bina Konumunda Geniş 2 Balkonlu,No type,Yeni,40000,"Caddebostan, Kadıköy",4+1,175
Cumhutiyet mah 3+1 120m2 eşyalı asansörlü balkonlu kiralık daire,No type,Yeni,17500,"Cumhuriyet, Küçükçekmece",3+1,130
Sariyer merkez'de. 1+1 esyali.kiralik daire.,No type,Yeni,16000,"Maden, Sarıyer",1+1,65
BOTANİCA İSTANBUL'DA METROBÜSE YAKIN SIFIR 1+1 DAİRE,No type,Yeni,13000,"Güzelyurt, Esenyurt",1+1,70
ŞİŞLİ GALATASARAY İLKOKULU KARŞISI 3+1,No type,Yeni,26000,"Meşrutiyet, Şişli",3+1,110
Ümraniye Çamlık Butik Sitede 2+1 Çok Şık Ara Kat,No type,Yeni,24000,"Çamlık, Ümraniye",2+1,85
ULUSTA SİTE İÇİNDE ÇATI DUBLEKSİ 5+2 DAİRE,No type,Yeni,90000,"Nisbetiye, Beşiktaş",5+2,240
MERKEZİ KONUMDA GENİŞ 1+1 KİRALIK DAİRE,No type,Yeni,12500,"Yenikent, Esenyurt",1+1,60
Göktürk Palms Resıdence'de Kiralık 1+0(studıo)Daire,No type,Yeni,23500,"Göktürk Merkez, Eyüpsultan",1+0,55
SEEWORLD SİNPAŞ AQUA CİTY 2010 1+1 72m2 KİRALIK aquacity,No type,Yeni,21000,"Emek, Sancaktepe",1+1,72
