Country,NamesSent
CHINA,4101845
UNITED STATES,3409245
PHILIPPINES,2300208
BRAZIL,1557298
UNITED KINGDOM,1310816
RUSSIA,1097170
ITALY,819752
MEXICO,785698
INDIA,701818
FRANCE,540676
INDONESIA,415663
CANADA,334212
UKRAINE,333918
SPAIN,328237
GERMANY,326916
MALAYSIA,276513
SOUTH KOREA,276167
AUSTRALIA,273097
KAZAKHSTAN,239266
PERU,219592
COLOMBIA,203253
POLAND,200351
TURKEY,195359
ARGENTINA,187122
CHILE,172048
ECUADOR,115014
CZECHIA,114555
IRAN,113890
VIETNAM,109100
PORTUGAL,104861
IRELAND,95153
TAIWAN,89743
SWEDEN,88001
BELARUS,87300
ROMANIA,80610
BELGIUM,77196
ARMENIA,73526
HONG KONG SAR CHINA,73150
THAILAND,72878
NETHERLANDS,67167
GREECE,63450
BANGLADESH,61578
SOUTH AFRICA,59335
AFGHANISTAN,58884
EGYPT,57305
UZBEKISTAN,56999
HUNGARY,54408
SAUDI ARABIA,50245
AUSTRIA,49852
ALBANIA,49553
ALGERIA,49470
COSTA RICA,48450
UNITED ARAB EMIRATES,47342
SWITZERLAND,43777
NEW ZEALAND,43775
JAPAN,41505
ISRAEL,40349
BOLIVIA,39695
SLOVAKIA,39300
AZERBAIJAN,37471
GUATEMALA,37270
VENEZUELA,36089
SINGAPORE,35675
SERBIA,35547
CROATIA,33143
NORWAY,32483
PAKISTAN,31755
MOROCCO,31698
AMERICAN SAMOA,31127
DENMARK,30862
KYRGYZSTAN,29678
FINLAND,28600
IRAQ,28260
BULGARIA,26736
ANDORRA,25835
EL SALVADOR,23438
MOLDOVA,23268
GEORGIA,21975
PANAMA,21921
LITHUANIA,21663
HONDURAS,21556
LEBANON,21221
PUERTO RICO,21069
BOSNIA & HERZEGOVINA,20657
JORDAN,19633
LATVIA,18871
NEPAL,18794
DOMINICAN REPUBLIC,18452
SRI LANKA,17201
PARAGUAY,16261
URUGUAY,16143
ANGOLA,15989
TUNISIA,15212
ESTONIA,13125
TRINIDAD & TOBAGO,12165
ANTARCTICA,10658
NICARAGUA,10518
SLOVENIA,10088
ANGUILLA,10005
KUWAIT,9723
MYANMAR (BURMA),9558
CYPRUS,8685
BAHRAIN,8512
NORTH MACEDONIA,8480
ARUBA,7851
NORTH KOREA,7733
SYRIA,7726
BAHAMAS,7704
KOSOVO,7670
CANARY ISLANDS,7468
QATAR,7368
ASCENSION ISLAND,6665
MACAO SAR CHINA,6379
MALDIVES,6338
ANTIGUA & BARBUDA,6178
NIGERIA,5798
PALESTINIAN TERRITORIES,5696
OMAN,5691
MALTA,5572
CAMBODIA,5544
KENYA,4881
BRUNEI,4773
MONTENEGRO,4569
GUYANA,4547
LUXEMBOURG,3673
TANZANIA,3653
MAURITIUS,3590
RÉUNION,3452
ZIMBABWE,3431
CUBA,3350
ICELAND,3221
CHRISTMAS ISLAND,3210
BELIZE,3144
MONGOLIA,3116
YEMEN,3028
LIBYA,2931
TAJIKISTAN,2873
JAMAICA,2710
BRITISH VIRGIN ISLANDS,2629
